Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2017-11-30 23:29:53;2017-12-01 07:50:18;81%;8:20;;;0;7562
2017-12-01 23:44:43;2017-12-02 08:36:26;75%;8:51;;;0;4315
2017-12-03 00:33:54;2017-12-03 08:42:52;85%;8:08;;;0;2898
2017-12-04 23:10:53;2017-12-05 07:28:10;69%;8:17;;;0;5131
2017-12-06 00:18:11;2017-12-06 08:43:05;61%;8:24;;;0;5883
2017-12-06 21:28:22;2017-12-06 22:18:23;10%;0:50;;;0;3986
2017-12-06 23:00:25;2017-12-07 06:56:06;85%;7:55;;;0;3994
2017-12-12 00:06:19;2017-12-12 08:25:27;97%;8:19;;;0;4226
2017-12-12 21:55:49;2017-12-13 04:00:55;65%;6:05;;;0;3923
2017-12-26 23:26:24;2017-12-27 07:37:54;89%;8:11;;;0;911
2017-12-28 01:09:24;2017-12-28 04:10:54;35%;3:01;;;0;4305
2018-01-02 00:42:24;2018-01-02 09:00:34;94%;8:18;;;0;1045
2018-01-03 23:26:24;2018-01-04 00:06:20;8%;0:39;;;0;2269
2018-01-06 22:11:09;2018-01-06 22:57:48;10%;0:46;;;0;2999
2018-01-07 01:14:47;2018-01-07 09:23:02;85%;8:08;;;0;2999
2018-01-07 22:29:36;2018-01-08 07:30:14;100%;9:00;;;0;3238
2018-01-09 00:08:45;2018-01-09 07:54:18;79%;7:45;;;0;9252
2018-01-10 23:09:22;2018-01-11 07:15:13;83%;8:05;;;0;5182
2018-01-12 23:36:17;2018-01-13 07:11:30;81%;7:35;;;0;4518
2018-01-14 00:05:51;2018-01-14 08:40:48;91%;8:34;;;0;23853
2018-01-15 23:27:07;2018-01-16 07:14:11;77%;7:47;;;0;3089
2018-01-16 23:28:30;2018-01-17 07:53:49;90%;8:25;;;0;4137
2018-01-17 22:08:37;2018-01-18 07:00:22;93%;8:51;;;0;4700
2018-01-18 22:13:47;2018-01-19 07:34:31;98%;9:20;;;0;5308
2018-01-19 22:19:06;2018-01-20 07:28:43;95%;9:09;;;0;8521
